data,categoria,descricao,valor,forma_pagamento,observacao
2026-09-08,Vestuário,"Cueca, topper e calça leg",458.00,crédito,
2026-09-08,Alimentação,Almoço,44.00,crédito,
2026-09-08,Gastos Variados,Capinha do controle do portão e capinha da chave do carro,60.00,crédito,
2026-09-08,Gastos Variados,Capinha do celular,60.00,crédito,
2026-09-08,Lazer e Assinaturas,Kit F1,150.00,crédito,Item de viagem
2026-09-09,Transporte,Uber,23.94,,
2026-09-09,Transporte,Uber,26.98,,
2026-09-09,Alimentação,Supermercado,135.00,,
2026-09-10,Alimentação,Pão,23.58,,
